name,firstName,lastName,playerId,height,weight,age,isManOfTheMatch,isActive,isOpta,playedPositions,positionText,playedPositionsShort,teamId,teamName,seasonId,seasonName,tournamentId,tournamentRegionId,tournamentRegionCode,regionCode,tournamentName,tournamentShortName,rating,ranking,apps,subOn,minsPlayed,manOfTheMatch,yellowCard,redCard,goal,assistTotal,shotsPerGame,aerialWonPerGame,passSuccess
Felipe Anderson,Felipe Anderson,Pereira Gomes,93026,175,70,23,false,true,true,-MC-ML-MR-,Midfielder,M(CLR),77,Lazio,6461,2016/2017,5,108,it,br,Serie A,ISA,7.81,6,23,1,1952,6,5.0,0.0,2,8,2.0434782608695654,0.6086956521739131,75.12588116817724
Edin Dzeko,Edin,Dzeko,24845,193,84,30,false,true,true,-FW-,Forward,FW,84,Roma,6461,2016/2017,5,108,it,ba,Serie A,ISA,7.808399999999999,7,25,2,2150,7,3.0,0.0,19,2,5.24,3.88,70.56672760511883
Toni Kroos,Toni,Kroos,31772,182,78,27,false,true,true,-MC-,Midfielder,M(C),52,Real Madrid,6436,2016/2017,4,206,es,de,La Liga,SLL,7.787222222222223,8,18,1,1525,3,5.0,0.0,1,9,1.2777777777777777,0.3333333333333333,92.35521235521236
Luis Suárez,Luis,Suárez,22221,182,86,30,false,true,true,-AMC-AML-AMR-FW-,Forward,"AM(CLR),FW",65,Barcelona,6436,2016/2017,4,206,es,uy,La Liga,SLL,7.786666666666667,9,21,1,1685,4,7.0,0.0,18,8,3.3333333333333335,0.3333333333333333,73.81889763779527
Paul Pogba,Paul,Pogba,97752,191,84,23,false,true,true,-MC-,Midfielder,M(C),32,Manchester United,6335,2016/2017,2,252,gb-eng,fr,Premier League,EPL,7.753749999999999,10,24,0,2160,4,7.0,0.0,4,3,3.375,3.125,85.38633818589025
Alejandro Gomez,Alejandro,Gomez,22546,164,60,29,false,true,true,-FW-MC-ML-,Midfielder,"M(CL),FW",300,Atalanta,6461,2016/2017,5,108,it,ar,Serie A,ISA,7.691599999999999,11,25,0,2150,7,4.0,0.0,9,5,3.36,0.12,80.91697645600992
Gareth Bale,Gareth,Bale,13812,183,74,27,false,true,true,-FW-MC-ML-MR-,Forward,"M(CLR),FW",52,Real Madrid,6436,2016/2017,4,206,es,gb-wls,La Liga,SLL,7.691538461538461,12,13,2,989,3,2.0,0.0,6,2,3.5384615384615383,2.230769230769231,78.96039603960396
Alexandre Lacazette,Alexandre,Lacazette,73078,175,73,25,false,true,true,-FW-ML-MR-,Forward,"M(LR),FW",228,Lyon,6318,2016/2017,22,74,fr,fr,Ligue 1,FL1,7.655238095238096,13,21,1,1737,5,3.0,0.0,21,2,3.238095238095238,0.9523809523809523,77.38287560581584
Andrea Belotti,Andrea,Belotti,112272,181,72,23,false,true,true,-FW-,Forward,FW,72,Torino,6461,2016/2017,5,108,it,it,Serie A,ISA,7.6377272727272745,14,22,1,1901,5,5.0,0.0,17,3,3.227272727272727,2.1363636363636362,75.94654788418708
Ryad Boudebouz,Ryad,Boudebouz,67958,177,74,27,false,true,true,-FW-MC-MR-,Midfielder,"M(CR),FW",311,Montpellier,6318,2016/2017,22,74,fr,dz,Ligue 1,FL1,7.630952380952381,15,21,0,1862,5,2.0,0.0,8,6,2.0,1.1904761904761905,77.77777777777779
Alex Sandro,Alex Sandro,Lobo Silva,100995,181,81,26,false,true,true,-DL-ML-,Defender,"D(L),M(L)",87,Juventus,6461,2016/2017,5,108,it,br,Serie A,ISA,7.617142857142859,16,21,1,1850,2,5.0,0.0,1,4,0.7142857142857143,1.4761904761904763,84.56175298804781
Diego Costa,Diego,Da Silva Costa,24248,188,85,28,false,true,true,-FW-,Forward,FW,15,Chelsea,6335,2016/2017,2,252,gb-eng,es,Premier League,EPL,7.6121739130434785,17,23,0,2038,4,5.0,0.0,15,5,3.0434782608695654,1.3478260869565217,74.92625368731564
Dries Mertens,Dries,Mertens,23100,169,61,29,false,true,true,-AMC-AML-AMR-FW-,Midfielder,"AM(CLR),FW",276,Napoli,6461,2016/2017,5,108,it,be,Serie A,ISA,7.6068181818181815,18,22,6,1533,8,6.0,0.0,16,4,4.0,0.13636363636363635,75.61475409836066
Emil Forsberg,Emil,Forsberg,141716,179,78,25,false,true,true,-AMC-AML-,Forward,AM(CL),7614,RasenBallsport Leipzig,6392,2016/2017,3,81,de,se,Bundesliga,GB,7.604705882352943,19,17,3,1256,6,1.0,1.0,6,9,1.7647058823529411,0.6470588235294118,77.22567287784679
Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,5583,185,80,32,false,true,true,-FW-ML-,Forward,"M(L),FW",52,Real Madrid,6436,2016/2017,4,206,es,pt,La Liga,SLL,7.599444444444446,20,18,0,1571,3,3.0,0.0,15,3,5.555555555555555,0.9444444444444444,80.99173553719008
Federico Fazio,Federico,Fazio,29908,195,85,29,false,true,true,-DC-,Defender,D(C),84,Roma,6461,2016/2017,5,108,it,ar,Serie A,ISA,7.597499999999999,21,24,2,2016,4,1.0,0.0,1,0,0.4583333333333333,3.375,84.06546080964685
Paulo Dybala,Paulo,Dybala,114863,177,73,23,false,true,true,-AMC-FW-,Forward,"AM(C),FW",87,Juventus,6461,2016/2017,5,108,it,ar,Serie A,ISA,7.561111111111111,22,18,2,1331,2,1.0,0.0,7,4,3.111111111111111,0.1111111111111111,85.56067588325654
